subject,block,rt,response,duration,hist,rsi
2,4,0.3850849,0,0.2,R,1.6
2,4,0.3215281,1,0.8,R,1.4
2,4,0.3092433,1,0.8,R,2.3
2,4,2.0725706,0,0.6,R,0.9
2,4,0.281183,1,0.8,R,1.4
2,4,1.0380551,0,0.8,R,0.9
2,4,0.6721537,0,0.7,R,1.3
2,4,0.521411,0,0.2,R,1.1
2,4,0.5120211,0,0.2,R,2.1
2,4,0.4292908,0,0.5,R,1.9
2,4,0.2332351,1,0.8,R,1.8
2,4,0.6902331,0,0.5,R,1.4
2,4,0.3481698,0,0.4,R,2.3
2,4,0.3202984,1,0.8,R,1.1
2,4,0.5241765,0,0.7,R,1.9
2,4,0.5053093,0,0.4,R,1.4
2,4,0.3204314,0,0.3,R,1.4
2,4,0.3292486,0,0.3,R,1.1
2,4,0.338155,1,0.8,R,1.3
2,4,0.5052775,1,0.8,R,1.3
2,4,0.6442143,0,0.6,R,2.1
2,4,0.3213162,0,0.3,R,1.4
2,4,0.8492058,0,0.7,R,1.8
2,4,0.3974572,0,0.4,R,1.9
2,4,0.3613561,0,0.2,R,1.6
3,1,0.3146899,1,0.8,R,1.4
3,1,0.4251585,0,0.2,R,0.9
3,1,0.3831808,0,0.2,R,1.3
3,1,0.3865327,0,0.3,R,2.1
3,1,1.4324232,1,0.4,R,1.9
3,1,0.3791351,1,0.5,R,1.4
3,1,0.3582006,1,0.6,R,1.3
3,1,0.3341458,0,0.2,R,1.3
3,1,0.5455026,0,0.4,R,2.1
3,1,0.3151229,1,0.7,R,1.1
3,1,0.3140755,0,0.5,R,1.9
3,1,0.4701793,0,0.3,R,2.3
3,1,0.3109044,0,0.6,R,1.9
3,1,0.3504434,0,0.2,R,1.1
3,1,0.2591819,0,0.5,R,1.4
3,1,0.2679001,0,0.5,R,1.1
3,1,0.2851573,0,0.3,R,1.6
3,1,0.5185128,1,0.7,R,1.9
3,1,0.5340053,1,0.6,R,1.9
3,1,0.3576341,1,0.8,R,1.3
3,1,0.3440732,0,0.4,R,1.6
3,1,1.2694401,0,0.7,R,1.3
3,1,1.7006568,1,0.7,R,1.3
3,1,0.3885571,0,0.5,R,1.8
3,1,0.3039892,1,0.8,R,2.1
3,1,0.445859,0,0.2,R,1.4
3,1,0.4886627,0,0.5,R,1.4
3,1,0.3898782,0,0.3,R,2.3
3,1,1.197261,1,0.6,R,1.3
3,1,0.2997715,0,0.3,R,2.1
3,1,0.2964614,0,0.3,R,2.1
3,1,0.4809346,0,0.3,R,0.9
3,1,0.3088008,0,0.5,R,1.4
